Titulo,URL,Descripcion,limpieza,origenes
The Little Mermaid,/title/tt5971474/,Adventure Family Fantasy             A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince,adventure family fantasy young mermaid makes deal sea witch trade beautiful voice human legs discover world water impress prince,adventur famili fantasi young mermaid make deal sea witch trade beauti voic human leg discov world water impress princ
Fast X,/title/tt5433140/,Action Adventure Crime             Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes,action adventure crime dom toretto family targeted vengeful son drug kingpin hernan reyes,action adventur crime dom toretto famili target veng son drug kingpin hernan rey
Guardians of the Galaxy Vol. 3,/title/tt6791350/,Action Adventure Comedy             Still reeling from the loss of Gamora Peter Quill rallies his team to defend the universe and one of their own  a mission that could mean the end of the Guardians if not successful,action adventure comedy still reeling loss gamora peter quill rallies team defend universe one mission could mean end guardians successful,action adventur comedi still reel loss gamora peter quill ralli team defend univers one mission could mean end guardian success
Killers of the Flower Moon,/title/tt5537002/,Crime Drama History             Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major FBI investigation involving J Edgar Hoover,crime drama history members osage tribe united states murdered mysterious circumstances 1920s sparking major fbi investigation involving j edgar hoover,crime drama histori member osag tribe unit state murder mysteri circumst 1920s spark major fbi investig involv j edgar hoover
John Wick: Chapter 4,/title/tt10366206/,Action Crime Thriller             John Wick uncovers a path to defeating The High Table But before he can earn his freedom Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes,action crime thriller john wick uncovers path defeating high table earn freedom wick must face new enemy powerful alliances across globe forces turn old friends foes,action crime thriller john wick uncov path defeat high tabl earn freedom wick must face new enemi power allianc across globe forc turn old friend foe
Dungeons & Dragons: Honor Among Thieves,/title/tt2906216/,Action Adventure Comedy             A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic but things go dangerously awry when they run afoul of the wrong people,action adventure comedy charming thief band unlikely adventurers embark epic quest retrieve lost relic things go dangerously awry run afoul wrong people,action adventur comedi charm thief band unlik adventur embark epic quest retriev lost relic thing go danger awri run afoul wrong peopl
The Super Mario Bros. Movie,/title/tt6718170/,Animation Adventure Comedy             A plumber named Mario travels through an underground labyrinth with his brother Luigi trying to save a captured princess,animation adventure comedy plumber named mario travels underground labyrinth brother luigi trying save captured princess,anim adventur comedi plumber name mario travel underground labyrinth brother luigi tri save captur princess
Ant-Man and the Wasp: Quantumania,/title/tt10954600/,Action Adventure Comedy             Scott Lang and Hope Van Dyne are dragged into the Quantum Realm along with Hopes parents and Scotts daughter Cassie Together they must find a way to escape but what secrets is Hopes mother hiding And who is the mysterious Kang,action adventure comedy scott lang hope van dyne dragged quantum realm along hopes parents scotts daughter cassie together must find way escape secrets hopes mother hiding mysterious kang,action adventur comedi scott lang hope van dyne drag quantum realm along hope parent scott daughter cassi togeth must find way escap secret hope mother hide mysteri kang
Air,/title/tt16419074/,Drama Sport             Follows the history of shoe salesman Sonny Vaccaro and how he led Nike in its pursuit of the greatest athlete in the history of basketball Michael Jordan,drama sport follows history shoe salesman sonny vaccaro led nike pursuit greatest athlete history basketball michael jordan,drama sport follow histori shoe salesman sonni vaccaro led nike pursuit greatest athlet histori basketbal michael jordan
The Flash,/title/tt0439572/,Action Adventure Fantasy             Barry Allen uses his super speed to change the past but his attempt to save his family creates a world without super heroes forcing him to race for his life in order to save the future,action adventure fantasy barry allen uses super speed change past attempt save family creates world without super heroes forcing race life order save future,action adventur fantasi barri allen use super speed chang past attempt save famili creat world without super hero forc race life order save futur
